id,district_id,name_current,name_old,is_merged
300,23,Xã Hương Sơn,,False
301,23,Xã Đào Mỹ,,False
302,23,Xã Tiên Lục,,False
303,23,Xã An Hà,,False
304,23,Thị trấn Kép,,False
305,23,Xã Mỹ Hà,,False
306,23,Xã Hương Lạc,,False
307,23,Xã Dương Đức,,False
308,23,Xã Tân Thanh,,False
309,23,Xã Yên Mỹ,,False
310,23,Xã Tân Hưng,,False
311,23,Xã Mỹ Thái,,False
312,23,Xã Xương Lâm,,False
313,23,Xã Xuân Hương,,False
314,23,Xã Tân Dĩnh,,False
315,23,Xã Đại Lâm,,False
316,23,Xã Thái Đào,,False
317,24,Thị trấn Đồi Ngô,,False
318,24,Xã Đông Hưng,,False
319,24,Xã Đông Phú,,False
320,24,Xã Tam Dị,,False
321,24,Xã Bảo Sơn,,False
322,24,Xã Bảo Đài,,False
323,24,Xã Thanh Lâm,,False
324,24,Xã Tiên Nha,,False
325,24,Xã Trường Giang,,False
326,24,Xã Phương Sơn,,False
327,24,Xã Chu Điện,,False
328,24,Xã Cương Sơn,,False
329,24,Xã Nghĩa Phương,,False
330,24,Xã Vô Tranh,,False
331,24,Xã Bình Sơn,,False
332,24,Xã Lan Mẫu,,False
333,24,Xã Yên Sơn,,False
334,24,Xã Khám Lạng,,False
335,24,Xã Huyền Sơn,,False
336,24,Xã Trường Sơn,,False
337,24,Xã Lục Sơn,,False
338,24,Xã Bắc Lũng,,False
339,24,Xã Vũ Xá,,False
340,24,Xã Cẩm Lý,,False
341,24,Xã Đan Hội,,False
342,25,Thị trấn Chũ,,False
343,25,Xã Cấm Sơn,,False
344,25,Xã Tân Sơn,,False
345,25,Xã Phong Minh,,False
346,25,Xã Phong Vân,,False
347,25,Xã Xa Lý,,False
348,25,Xã Hộ Đáp,,False
349,25,Xã Sơn Hải,,False
350,25,Xã Thanh Hải,,False
351,25,Xã Kiên Lao,,False
352,25,Xã Biên Sơn,,False
353,25,Xã Kiên Thành,,False
354,25,Xã Hồng Giang,,False
355,25,Xã Kim Sơn,,False
356,25,Xã Tân Hoa,,False
357,25,Xã Giáp Sơn,,False
358,25,Xã Biển Động,,False
359,25,Xã Quý Sơn,,False
360,25,Xã Trù Hựu,,False
361,25,Xã Phì Điền,,False
362,25,Xã Tân Quang,,False
363,25,Xã Đồng Cốc,,False
364,25,Xã Tân Lập,,False
365,25,Xã Phú Nhuận,,False
366,25,Xã Mỹ An,,False
367,25,Xã Nam Dương,,False
368,25,Xã Tân Mộc,,False
369,25,Xã Đèo Gia,,False
370,25,Xã Phượng Sơn,,False
371,26,Thị trấn An Châu,,False
372,26,Thị trấn Tây Yên Tử,,False
373,26,Xã Vân Sơn,,False
374,26,Xã Hữu Sản,,False
375,26,Xã Đại Sơn,,False
376,26,Xã Phúc Sơn,,False
377,26,Xã Giáo Liêm,,False
378,26,Xã Cẩm Đàn,,False
379,26,Xã An Lạc,,False
380,26,Xã Vĩnh An,,False
381,26,Xã Yên Định,,False
382,26,Xã Lệ Viễn,,False
383,26,Xã An Bá,,False
384,26,Xã Tuấn Đạo,,False
385,26,Xã Dương Hưu,,False
386,26,Xã Long Sơn,,False
387,26,Xã Thanh Luận,,False
388,27,Thị trấn Nham Biền,,False
389,27,Thị trấn Tân An,,False
390,27,Xã Lão Hộ,,False
391,27,Xã Hương Gián,,False
392,27,Xã Quỳnh Sơn,,False
393,27,Xã Nội Hoàng,,False
394,27,Xã Tiền Phong,,False
395,27,Xã Xuân Phú,,False
396,27,Xã Tân Liễu,,False
397,27,Xã Trí Yên,,False
398,27,Xã Lãng Sơn,,False
399,27,Xã Yên Lư,,False
400,27,Xã Tiến Dũng,,False
401,27,Xã Đức Giang,,False
402,27,Xã Cảnh Thụy,,False
403,27,Xã Tư Mại,,False
404,27,Xã Đồng Việt,,False
405,27,Xã Đồng Phúc,,False
406,28,Xã Thượng Lan,,False
407,28,Xã Việt Tiến,,False
408,28,Xã Nghĩa Trung,,False
409,28,Xã Minh Đức,,False
410,28,Xã Hương Mai,,False
411,28,Xã Tự Lạn,,False
412,28,Thị trấn Bích Động,,False
413,28,Xã Trung Sơn,,False
414,28,Xã Hồng Thái,,False
415,28,Xã Tiên Sơn,,False
416,28,Xã Tăng Tiến,,False
417,28,Xã Quảng Minh,,False
418,28,Thị trấn Nếnh,,False
419,28,Xã Ninh Sơn,,False
420,28,Xã Vân Trung,,False
421,28,Xã Vân Hà,,False
422,28,Xã Quang Châu,,False
423,29,Xã Đồng Tân,,False
424,29,Xã Thanh Vân,,False
425,29,Xã Hoàng Lương,,False
426,29,Xã Hoàng Vân,,False
427,29,Xã Hoàng Thanh,,False
428,29,Xã Hoàng An,,False
429,29,Xã Ngọc Sơn,,False
430,29,Xã Thái Sơn,,False
431,29,Xã Hòa Sơn,,False
432,29,Thị trấn Thắng,,False
433,29,Xã Quang Minh,,False
434,29,Xã Lương Phong,,False
435,29,Xã Hùng Sơn,,False
436,29,Xã Đại Thành,,False
437,29,Xã Thường Thắng,,False
438,29,Xã Hợp Thịnh,,False
439,29,Xã Danh Thắng,,False
440,29,Xã Mai Trung,,False
441,29,Xã Đoan Bái,,False
442,29,Xã Bắc Lý,,False
443,29,Xã Xuân Cẩm,,False
444,29,Xã Hương Lâm,,False
445,29,Xã Đông Lỗ,,False
446,29,Xã Châu Minh,,False
447,29,Xã Mai Đình,,False
448,30,Phường Nguyễn Thị Minh Khai,,False
449,30,Phường Sông Cầu,,False
450,30,Phường Đức Xuân,,False
451,30,Phường Phùng Chí Kiên,,False
452,30,Phường Huyền Tụng,,False
453,30,Xã Dương Quang,,False
454,30,Xã Nông Thượng,,False
455,30,Phường Xuất Hóa,,False
456,31,Xã Bằng Thành,,False
457,31,Xã Nhạn Môn,,False
458,31,Xã Bộc Bố,,False
459,31,Xã Công Bằng,,False
460,31,Xã Giáo Hiệu,,False
461,31,Xã Xuân La,,False
462,31,Xã An Thắng,,False
463,31,Xã Cổ Linh,,False
464,31,Xã Nghiên Loan,,False
465,31,Xã Cao Tân,,False
466,32,Thị trấn Chợ Rã,,False
467,32,Xã Bành Trạch,,False
468,32,Xã Phúc Lộc,,False
469,32,Xã Hà Hiệu,,False
470,32,Xã Cao Thượng,,False
471,32,Xã Khang Ninh,,False
472,32,Xã Nam Mẫu,,False
473,32,Xã Thượng Giáo,,False
474,32,Xã Địa Linh,,False
475,32,Xã Yến Dương,,False
476,32,Xã Chu Hương,,False
477,32,Xã Quảng Khê,,False
478,32,Xã Mỹ Phương,,False
479,32,Xã Hoàng Trĩ,,False
480,32,Xã Đồng Phúc,,False
481,33,Thị trấn Nà Phặc,,False
482,33,Xã Thượng Ân,,False
483,33,Xã Bằng Vân,,False
484,33,Xã Cốc Đán,,False
485,33,Xã Trung Hoà,,False
486,33,Xã Đức Vân,,False
487,33,Xã Vân Tùng,,False
488,33,Xã Thượng Quan,,False
489,33,Xã Hiệp Lực,,False
490,33,Xã Thuần Mang,,False
491,34,Thị trấn Phủ Thông,,False
492,34,Xã Vi Hương,,False
493,34,Xã Sĩ Bình,,False
494,34,Xã Vũ Muộn,,False
495,34,Xã Đôn Phong,,False
496,34,Xã Lục Bình,,False
497,34,Xã Tân Tú,,False
498,34,Xã Nguyên Phúc,,False
499,34,Xã Cao Sơn,,False
500,34,Xã Quân Hà,,False
501,34,Xã Cẩm Giàng,,False
502,34,Xã Mỹ Thanh,,False
503,34,Xã Dương Phong,,False
504,34,Xã Quang Thuận,,False
505,35,Thị trấn Bằng Lũng,,False
506,35,Xã Xuân Lạc,,False
507,35,Xã Nam Cường,,False
508,35,Xã Đồng Lạc,,False
509,35,Xã Tân Lập,,False
510,35,Xã Bản Thi,,False
511,35,Xã Quảng Bạch,,False
512,35,Xã Bằng Phúc,,False
513,35,Xã Yên Thịnh,,False
514,35,Xã Yên Thượng,,False
515,35,Xã Phương Viên,,False
516,35,Xã Ngọc Phái,,False
517,35,Xã Đồng Thắng,,False
518,35,Xã Lương Bằng,,False
519,35,Xã Bằng Lãng,,False
520,35,Xã Đại Sảo,,False
521,35,Xã Nghĩa Tá,,False
522,35,Xã Yên Mỹ,,False
523,35,Xã Bình Trung,,False
524,35,Xã Yên Phong,,False
525,36,Thị trấn Đồng Tâm,,False
526,36,Xã Tân Sơn,,False
527,36,Xã Thanh Vận,,False
528,36,Xã Mai Lạp,,False
529,36,Xã Hoà Mục,,False
530,36,Xã Thanh Mai,,False
531,36,Xã Cao Kỳ,,False
532,36,Xã Nông Hạ,,False
533,36,Xã Yên Cư,,False
534,36,Xã Thanh Thịnh,,False
535,36,Xã Yên Hân,,False
536,36,Xã Như Cố,,False
537,36,Xã Bình Văn,,False
538,36,Xã Quảng Chu,,False
539,37,Xã Văn Vũ,,False
540,37,Xã Văn Lang,,False
541,37,Xã Lương Thượng,,False
542,37,Xã Kim Hỷ,,False
543,37,Xã Cường Lợi,,False
544,37,Thị trấn Yến Lạc,,False
545,37,Xã Kim Lư,,False
546,37,Xã Sơn Thành,,False
547,37,Xã Văn Minh,,False
548,37,Xã Côn Minh,,False
549,37,Xã Cư Lễ,,False
550,37,Xã Trần Phú,,False
551,37,Xã Quang Phong,,False
552,37,Xã Dương Sơn,,False
553,37,Xã Xuân Dương,,False
554,37,Xã Đổng Xá,,False
555,37,Xã Liêm Thuỷ,,False
556,38,Phường 2,,False
557,38,Phường 3,,False
558,38,Phường 5,,False
559,38,Phường 7,,False
560,38,Phường 1,,False
561,38,Phường 8,,False
562,38,Phường Nhà Mát,,False
563,38,Xã Vĩnh Trạch,,False
564,38,Xã Vĩnh Trạch Đông,,False
565,38,Xã Hiệp Thành,,False
566,39,Thị trấn Ngan Dừa,,False
567,39,Xã Ninh Quới,,False
568,39,Xã Ninh Quới A,,False
569,39,Xã Ninh Hòa,,False
570,39,Xã Lộc Ninh,,False
571,39,Xã Vĩnh Lộc,,False
572,39,Xã Vĩnh Lộc A,,False
573,39,Xã Ninh Thạnh Lợi A,,False
574,39,Xã Ninh Thạnh Lợi,,False
575,40,Thị trấn Phước Long,,False
576,40,Xã Vĩnh Phú Đông,,False
577,40,Xã Vĩnh Phú Tây,,False
578,40,Xã Phước Long,,False
579,40,Xã Hưng Phú,,False
580,40,Xã Vĩnh Thanh,,False
581,40,Xã Phong Thạnh Tây A,,False
582,40,Xã Phong Thạnh Tây B,,False
583,41,Xã Vĩnh Hưng,,False
584,41,Xã Vĩnh Hưng A,,False
585,41,Thị trấn Châu Hưng,,False
586,41,Xã Châu Hưng A,,False
587,41,Xã Hưng Thành,,False
588,41,Xã Hưng Hội,,False
589,41,Xã Châu Thới,,False
590,41,Xã Long Thạnh,,False
591,42,Phường 1,,False
592,42,Phường Hộ Phòng,,False
593,42,Xã Phong Thạnh Đông,,False
594,42,Phường Láng Tròn,,False
595,42,Xã Phong Tân,,False
596,42,Xã Tân Phong,,False
597,42,Xã Phong Thạnh,,False
598,42,Xã Phong Thạnh A,,False
599,42,Xã Phong Thạnh Tây,,False
600,42,Xã Tân Thạnh,,False
601,43,Thị trấn Gành Hào,,False
602,43,Xã Long Điền Đông,,False
603,43,Xã Long Điền Đông A,,False
604,43,Xã Long Điền,,False
605,43,Xã Long Điền Tây,,False
606,43,Xã Điền Hải,,False
607,43,Xã An Trạch,,False
608,43,Xã An Trạch A,,False
609,43,Xã An Phúc,,False
610,43,Xã Định Thành,,False
611,43,Xã Định Thành A,,False
612,44,Thị trấn Hòa Bình,,False
613,44,Xã Minh Diệu,,False
614,44,Xã Vĩnh Bình,,False
615,44,Xã Vĩnh Mỹ B,,False
616,44,Xã Vĩnh Hậu,,False
617,44,Xã Vĩnh Hậu A,,False
618,44,Xã Vĩnh Mỹ A,,False
619,44,Xã Vĩnh Thịnh,,False
620,45,Phường Vũ Ninh,,False
621,45,Phường Đáp Cầu,,False
622,45,Phường Thị Cầu,,False
623,45,Phường Kinh Bắc,,False
624,45,Phường Vệ An,,False
625,45,Phường Tiền An,,False
626,45,Phường Đại Phúc,,False
627,45,Phường Ninh Xá,,False
628,45,Phường Suối Hoa,,False
629,45,Phường Võ Cường,,False
630,45,Phường Hòa Long,,False
631,45,Phường Vạn An,,False
632,45,Phường Khúc Xuyên,,False
633,45,Phường Phong Khê,,False
634,45,Phường Kim Chân,,False
635,45,Phường Vân Dương,,False
636,45,Phường Nam Sơn,,False
637,45,Phường Khắc Niệm,,False
638,45,Phường Hạp Lĩnh,,False
639,46,Phường Đông Ngàn,,False
640,46,Phường Tam Sơn,,False
641,46,Phường Hương Mạc,,False
642,46,Phường Tương Giang,,False
643,46,Phường Phù Khê,,False
644,46,Phường Đồng Kỵ,,False
645,46,Phường Trang Hạ,,False
646,46,Phường Đồng Nguyên,,False
647,46,Phường Châu Khê,,False
648,46,Phường Tân Hồng,,False
649,46,Phường Đình Bảng,,False
650,46,Phường Phù Chẩn,,False
651,47,Thị trấn Chờ,,False
652,47,Xã Dũng Liệt,,False
653,47,Xã Tam Đa,,False
654,47,Xã Tam Giang,,False
655,47,Xã Yên Trung,,False
656,47,Xã Thụy Hòa,,False
657,47,Xã Hòa Tiến,,False
658,47,Xã Đông Tiến,,False
659,47,Xã Yên Phụ,,False
660,47,Xã Trung Nghĩa,,False
661,47,Xã Đông Phong,,False
